exerciseName,exerciseType,rep,holdTime,set,targetArea,difficulty,equipmentNeeded,aiTrackingEnabled,description,demoVideo,image,intensity,intended_effects,contraindications,movement_plane,progressions
pelvic tilt,repetition,20.0,,3,spine/core,easy,None,True,Pelvic Tilt: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/105.mp4,https://example.com/image/105.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
glute bridge march,repetition,15.0,,3,hip,easy,Towel,True,Glute Bridge March: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/106.mp4,https://example.com/image/106.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
straight leg raise,hold,,30.0,3,knee,easy,Resistance Band,True,Straight Leg Raise: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/107.mp4,https://example.com/image/107.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
towel scrunches,hold,,30.0,3,ankle/foot,hard,None,True,Towel Scrunches: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/108.mp4,https://example.com/image/108.jpg,high,"balance, proprioception",none,sagittal,none
thoracic extension on foam roller - left,repetition,12.0,,3,chest,easy,None,True,Thoracic Extension on Foam Roller - Left: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/109.mp4,https://example.com/image/109.jpg,low,mobility,none,sagittal,intermediate variation
kegels (isometric),repetition,10.0,,3,pelvis,hard,Foam Roller,True,Kegels (Isometric): Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/110.mp4,https://example.com/image/110.jpg,high,mobility,none,sagittal,none
neck rotation,repetition,15.0,,3,neck,easy,None,True,Neck Rotation: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/111.mp4,https://example.com/image/111.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
shoulder abduction,repetition,20.0,,3,shoulder,medium,None,True,Shoulder Abduction: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/112.mp4,https://example.com/image/112.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
elbow extension - right,hold,,20.0,3,elbow,easy,None,True,Elbow Extension - Right: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/113.mp4,https://example.com/image/113.jpg,low,mobility,none,sagittal,intermediate variation
wrist extension stretch,repetition,6.0,,3,wrist/hand,medium,None,True,Wrist Extension Stretch: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/114.mp4,https://example.com/image/114.jpg,high,"mobility, neural_glide",none,sagittal,none
bird dog,repetition,12.0,,3,spine/core,easy,None,True,Bird Dog: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/115.mp4,https://example.com/image/115.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
glute bridge march,repetition,10.0,,3,hip,hard,None,True,Glute Bridge March: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/116.mp4,https://example.com/image/116.jpg,high,"mobility, strengthening",none,sagittal,none
heel slides,hold,,30.0,3,knee,easy,None,True,Heel Slides: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/117.mp4,https://example.com/image/117.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
toe raises,hold,,60.0,3,ankle/foot,easy,None,True,Toe Raises: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/118.mp4,https://example.com/image/118.jpg,low,"balance, proprioception",none,sagittal,intermediate variation
pec stretch,hold,,15.0,3,chest,medium,None,True,Pec Stretch: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/119.mp4,https://example.com/image/119.jpg,high,mobility,none,sagittal,none
kegels,repetition,8.0,,3,pelvis,medium,Towel,True,Kegels: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/120.mp4,https://example.com/image/120.jpg,high,mobility,none,sagittal,none
neck flexion,hold,,10.0,3,neck,hard,None,True,Neck Flexion: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/121.mp4,https://example.com/image/121.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
external rotation (lying),repetition,15.0,,3,shoulder,hard,Foam Roller,True,External Rotation (Lying): Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/122.mp4,https://example.com/image/122.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
forearm supination,repetition,10.0,,3,elbow,medium,None,True,Forearm Supination: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/123.mp4,https://example.com/image/123.jpg,high,mobility,none,sagittal,none
wrist flexion stretch (with band),hold,,45.0,3,wrist/hand,easy,Dumbbell,True,Wrist Flexion Stretch (With Band): Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/124.mp4,https://example.com/image/124.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
bridge (standing),repetition,15.0,,3,spine/core,easy,Resistance Band,True,Bridge (Standing): Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/125.mp4,https://example.com/image/125.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
hip abduction (with band),hold,,20.0,3,hip,hard,None,True,Hip Abduction (With Band): Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/126.mp4,https://example.com/image/126.jpg,high,"mobility, strengthening",none,sagittal,none
quad sets,repetition,6.0,,3,knee,easy,Chair,True,Quad Sets: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/127.mp4,https://example.com/image/127.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
toe raises - left,repetition,12.0,,3,ankle/foot,easy,Resistance Band,True,Toe Raises - Left: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/128.mp4,https://example.com/image/128.jpg,low,"balance, proprioception",none,sagittal,intermediate variation
thoracic extension on foam roller,repetition,6.0,,3,chest,medium,Resistance Band,True,Thoracic Extension on Foam Roller: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/129.mp4,https://example.com/image/129.jpg,high,mobility,none,sagittal,none
hip rolls (slow),repetition,10.0,,3,pelvis,easy,Resistance Band,True,Hip Rolls (Slow): Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/130.mp4,https://example.com/image/130.jpg,low,mobility,none,sagittal,intermediate variation
chin tucks - right,repetition,6.0,,3,neck,hard,Dumbbell,True,Chin Tucks - Right: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/131.mp4,https://example.com/image/131.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder pendulum,repetition,10.0,,3,shoulder,easy,None,True,Shoulder Pendulum: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/132.mp4,https://example.com/image/132.jpg,low,"mobility, strengthening",avoid_overhead_if_painful,sagittal,intermediate variation
wrist flexor stretch (with band),repetition,8.0,,3,elbow,medium,None,True,Wrist Flexor Stretch (With Band): Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/133.mp4,https://example.com/image/133.jpg,high,mobility,none,sagittal,none
finger taps,repetition,8.0,,3,wrist/hand,easy,Foam Roller,True,Finger Taps: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/134.mp4,https://example.com/image/134.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
bird dog (with band) - right,repetition,8.0,,3,spine/core,medium,None,True,Bird Dog (With Band) - Right: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/135.mp4,https://example.com/image/135.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
hip flexor stretch,repetition,15.0,,3,hip,easy,Resistance Band,True,Hip Flexor Stretch: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/136.mp4,https://example.com/image/136.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
mini squat - right,hold,,30.0,3,knee,easy,None,True,Mini Squat - Right: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/137.mp4,https://example.com/image/137.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
towel scrunches (standing),repetition,15.0,,3,ankle/foot,medium,None,True,Towel Scrunches (Standing): Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/138.mp4,https://example.com/image/138.jpg,high,"balance, proprioception",none,sagittal,none
scapular retraction,repetition,12.0,,3,chest,easy,Resistance Band,True,Scapular Retraction: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/139.mp4,https://example.com/image/139.jpg,low,mobility,none,sagittal,intermediate variation
piriformis stretch,repetition,10.0,,3,pelvis,medium,None,True,Piriformis Stretch: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/140.mp4,https://example.com/image/140.jpg,high,mobility,none,sagittal,none
neck flexion,hold,,60.0,3,neck,hard,None,True,Neck Flexion: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/141.mp4,https://example.com/image/141.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder pendulum (standing),repetition,6.0,,3,shoulder,medium,None,True,Shoulder Pendulum (Standing): Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/142.mp4,https://example.com/image/142.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
forearm supination,hold,,30.0,3,elbow,hard,Resistance Band,True,Forearm Supination: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/143.mp4,https://example.com/image/143.jpg,high,mobility,none,sagittal,none
finger taps,repetition,20.0,,3,wrist/hand,easy,Foam Roller,True,Finger Taps: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/144.mp4,https://example.com/image/144.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
cat-cow,repetition,12.0,,3,spine/core,medium,Wall,True,Cat-Cow: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/145.mp4,https://example.com/image/145.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
standing hip extension - right,hold,,60.0,3,hip,easy,None,True,Standing Hip Extension - Right: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/146.mp4,https://example.com/image/146.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
hamstring curl,repetition,20.0,,3,knee,easy,None,True,Hamstring Curl: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/147.mp4,https://example.com/image/147.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
ankle circles (with band),repetition,10.0,,3,ankle/foot,medium,Dumbbell,True,Ankle Circles (With Band): Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/148.mp4,https://example.com/image/148.jpg,high,"balance, proprioception",none,sagittal,none
thoracic extension on foam roller,hold,,10.0,3,chest,medium,None,True,Thoracic Extension on Foam Roller: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/149.mp4,https://example.com/image/149.jpg,high,mobility,none,sagittal,none
side-lying abduction,hold,,10.0,3,pelvis,easy,None,True,Side-Lying Abduction: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/150.mp4,https://example.com/image/150.jpg,low,mobility,none,sagittal,intermediate variation
chin tucks - right,repetition,15.0,,3,neck,easy,None,True,Chin Tucks - Right: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/151.mp4,https://example.com/image/151.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
shoulder flexion with band,repetition,12.0,,3,shoulder,medium,None,True,Shoulder Flexion with Band: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/152.mp4,https://example.com/image/152.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
forearm pronation,repetition,10.0,,3,elbow,easy,Foam Roller,True,Forearm Pronation: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/153.mp4,https://example.com/image/153.jpg,low,mobility,none,sagittal,intermediate variation
wrist flexion stretch - right,repetition,12.0,,3,wrist/hand,medium,Resistance Band,True,Wrist Flexion Stretch - Right: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/154.mp4,https://example.com/image/154.jpg,high,"mobility, neural_glide",none,sagittal,none
pelvic tilt (assisted) - left,hold,,45.0,3,spine/core,easy,Resistance Band,True,Pelvic Tilt (Assisted) - Left: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/155.mp4,https://example.com/image/155.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
hip abduction (standing),repetition,12.0,,3,hip,hard,Resistance Band,True,Hip Abduction (Standing): Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/156.mp4,https://example.com/image/156.jpg,high,"mobility, strengthening",none,sagittal,none
straight leg raise,repetition,15.0,,3,knee,easy,Dumbbell,True,Straight Leg Raise: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/157.mp4,https://example.com/image/157.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
toe raises,repetition,8.0,,3,ankle/foot,easy,None,True,Toe Raises: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/158.mp4,https://example.com/image/158.jpg,low,"balance, proprioception",none,sagittal,intermediate variation
doorway stretch,hold,,30.0,3,chest,easy,None,True,Doorway Stretch: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/159.mp4,https://example.com/image/159.jpg,low,mobility,none,sagittal,intermediate variation
piriformis stretch,repetition,15.0,,3,pelvis,easy,Wall,True,Piriformis Stretch: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/160.mp4,https://example.com/image/160.jpg,low,mobility,none,sagittal,intermediate variation
neck lateral flexion (standing),hold,,45.0,3,neck,easy,None,True,Neck Lateral Flexion (Standing): Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/161.mp4,https://example.com/image/161.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
shoulder abduction - left,repetition,20.0,,3,shoulder,hard,Foam Roller,True,Shoulder Abduction - Left: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/162.mp4,https://example.com/image/162.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
wrist flexor stretch,hold,,60.0,3,elbow,hard,None,True,Wrist Flexor Stretch: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/163.mp4,https://example.com/image/163.jpg,high,mobility,none,sagittal,none
thumb opposition,repetition,6.0,,3,wrist/hand,easy,Dumbbell,True,Thumb Opposition: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/164.mp4,https://example.com/image/164.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
cat-cow - left,repetition,20.0,,3,spine/core,easy,None,True,Cat-Cow - Left: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/165.mp4,https://example.com/image/165.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
standing hip extension,repetition,10.0,,3,hip,medium,None,True,Standing Hip Extension: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/166.mp4,https://example.com/image/166.jpg,high,"mobility, strengthening",none,sagittal,none
hamstring curl (standing),repetition,20.0,,3,knee,hard,Resistance Band,True,Hamstring Curl (Standing): Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/167.mp4,https://example.com/image/167.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
calf raises,repetition,20.0,,3,ankle/foot,medium,None,True,Calf Raises: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/168.mp4,https://example.com/image/168.jpg,high,"balance, proprioception",none,sagittal,none
thoracic extension on foam roller - left,repetition,10.0,,3,chest,medium,Resistance Band,True,Thoracic Extension on Foam Roller - Left: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/169.mp4,https://example.com/image/169.jpg,high,mobility,none,sagittal,none
piriformis stretch (assisted) - right,repetition,8.0,,3,pelvis,easy,Dumbbell,True,Piriformis Stretch (Assisted) - Right: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/170.mp4,https://example.com/image/170.jpg,low,mobility,none,sagittal,intermediate variation
neck extension (lying),hold,,45.0,3,neck,medium,Foam Roller,True,Neck Extension (Lying): Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/171.mp4,https://example.com/image/171.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
internal rotation (slow),repetition,8.0,,3,shoulder,easy,Foam Roller,True,Internal Rotation (Slow): Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/172.mp4,https://example.com/image/172.jpg,low,"mobility, strengthening",avoid_overhead_if_painful,sagittal,intermediate variation
wrist flexor stretch,repetition,20.0,,3,elbow,medium,Chair,True,Wrist Flexor Stretch: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/173.mp4,https://example.com/image/173.jpg,high,mobility,none,sagittal,none
thumb opposition (advanced),hold,,30.0,3,wrist/hand,hard,None,True,Thumb Opposition (Advanced): Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/174.mp4,https://example.com/image/174.jpg,high,"mobility, neural_glide",none,sagittal,none
transverse abdominis activation,repetition,15.0,,3,spine/core,easy,None,True,Transverse Abdominis Activation: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/175.mp4,https://example.com/image/175.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
clamshell,repetition,10.0,,3,hip,medium,None,True,Clamshell: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/176.mp4,https://example.com/image/176.jpg,high,"mobility, strengthening",none,sagittal,none
mini squat,repetition,15.0,,3,knee,easy,None,True,Mini Squat: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/177.mp4,https://example.com/image/177.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
calf raises,repetition,12.0,,3,ankle/foot,medium,None,True,Calf Raises: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/178.mp4,https://example.com/image/178.jpg,high,"balance, proprioception",none,sagittal,none
pec stretch - left,hold,,60.0,3,chest,easy,None,True,Pec Stretch - Left: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/179.mp4,https://example.com/image/179.jpg,low,mobility,none,sagittal,intermediate variation
pelvic clock (advanced),hold,,30.0,3,pelvis,medium,Towel,True,Pelvic Clock (Advanced): Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/180.mp4,https://example.com/image/180.jpg,high,mobility,none,sagittal,none
neck flexion (lying),repetition,6.0,,3,neck,medium,None,True,Neck Flexion (Lying): Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/181.mp4,https://example.com/image/181.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder pendulum (assisted),repetition,12.0,,3,shoulder,medium,None,True,Shoulder Pendulum (Assisted): Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/182.mp4,https://example.com/image/182.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
wrist flexor stretch,repetition,10.0,,3,elbow,easy,None,True,Wrist Flexor Stretch: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/183.mp4,https://example.com/image/183.jpg,low,mobility,none,sagittal,intermediate variation
wrist flexion stretch,repetition,15.0,,3,wrist/hand,medium,None,True,Wrist Flexion Stretch: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/184.mp4,https://example.com/image/184.jpg,high,"mobility, neural_glide",none,sagittal,none
pelvic tilt (assisted),repetition,6.0,,3,spine/core,easy,Resistance Band,True,Pelvic Tilt (Assisted): Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/185.mp4,https://example.com/image/185.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
hip flexor stretch,repetition,15.0,,3,hip,easy,Resistance Band,True,Hip Flexor Stretch: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/186.mp4,https://example.com/image/186.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
heel slides,repetition,20.0,,3,knee,medium,None,True,Heel Slides: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/187.mp4,https://example.com/image/187.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
toe raises (with band),repetition,12.0,,3,ankle/foot,hard,None,True,Toe Raises (With Band): Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/188.mp4,https://example.com/image/188.jpg,high,"balance, proprioception",none,sagittal,none
scapular retraction (with band),repetition,20.0,,3,chest,easy,None,True,Scapular Retraction (With Band): Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/189.mp4,https://example.com/image/189.jpg,low,mobility,none,sagittal,intermediate variation
hip rolls,hold,,20.0,3,pelvis,hard,None,True,Hip Rolls: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/190.mp4,https://example.com/image/190.jpg,high,mobility,none,sagittal,none
neck rotation,repetition,12.0,,3,neck,easy,Resistance Band,True,Neck Rotation: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/191.mp4,https://example.com/image/191.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
shoulder flexion with band - right,repetition,10.0,,3,shoulder,easy,Resistance Band,True,Shoulder Flexion with Band - Right: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/192.mp4,https://example.com/image/192.jpg,low,"mobility, strengthening",avoid_overhead_if_painful,sagittal,intermediate variation
elbow extension - right,hold,,20.0,3,elbow,medium,None,True,Elbow Extension - Right: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/193.mp4,https://example.com/image/193.jpg,high,mobility,none,sagittal,none
wrist flexion stretch (assisted),repetition,6.0,,3,wrist/hand,easy,Resistance Band,True,Wrist Flexion Stretch (Assisted): Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/194.mp4,https://example.com/image/194.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
pelvic tilt (standing),repetition,15.0,,3,spine/core,easy,None,True,Pelvic Tilt (Standing): Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/195.mp4,https://example.com/image/195.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
glute bridge march,repetition,15.0,,3,hip,easy,None,True,Glute Bridge March: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/196.mp4,https://example.com/image/196.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
hamstring curl (standing) - left,repetition,15.0,,3,knee,easy,Dumbbell,True,Hamstring Curl (Standing) - Left: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/197.mp4,https://example.com/image/197.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
towel scrunches (isometric),repetition,8.0,,3,ankle/foot,hard,None,True,Towel Scrunches (Isometric): Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/198.mp4,https://example.com/image/198.jpg,high,"balance, proprioception",none,sagittal,none
wall push-up,hold,,60.0,3,chest,easy,None,True,Wall Push-up: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/199.mp4,https://example.com/image/199.jpg,low,mobility,none,sagittal,intermediate variation
piriformis stretch (isometric),hold,,60.0,3,pelvis,easy,None,True,Piriformis Stretch (Isometric): Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/200.mp4,https://example.com/image/200.jpg,low,mobility,none,sagittal,intermediate variation
neck extension (with band),repetition,10.0,,3,neck,medium,None,True,Neck Extension (With Band): Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/201.mp4,https://example.com/image/201.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
internal rotation (standing) - left,hold,,30.0,3,shoulder,medium,Dumbbell,True,Internal Rotation (Standing) - Left: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/202.mp4,https://example.com/image/202.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
wrist flexor stretch (slow),repetition,10.0,,3,elbow,easy,Dumbbell,True,Wrist Flexor Stretch (Slow): Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/203.mp4,https://example.com/image/203.jpg,low,mobility,none,sagittal,intermediate variation
thumb opposition,repetition,6.0,,3,wrist/hand,medium,None,True,Thumb Opposition: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/204.mp4,https://example.com/image/204.jpg,high,"mobility, neural_glide",none,sagittal,none
cat-cow (slow),hold,,45.0,3,spine/core,hard,Foam Roller,True,Cat-Cow (Slow): Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/205.mp4,https://example.com/image/205.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
hip abduction (isometric),repetition,15.0,,3,hip,medium,None,True,Hip Abduction (Isometric): Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/206.mp4,https://example.com/image/206.jpg,high,"mobility, strengthening",none,sagittal,none
mini squat (slow),hold,,10.0,3,knee,easy,Chair,True,Mini Squat (Slow): Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/207.mp4,https://example.com/image/207.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
balance on single leg (with band),repetition,12.0,,3,ankle/foot,hard,None,True,Balance on Single Leg (With Band): Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/208.mp4,https://example.com/image/208.jpg,high,"balance, proprioception",none,sagittal,none
